% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	24	1692	0
0.109	1	1	11	10	1	24	1692	1
0.128	1	1	13	9	1	22	1431	0
0.128	1	1	13	9	1	22	1431	1
0.143	1	1	15	4	1	22	1431	0
0.143	1	1	15	4	1	22	1431	1
0.144	1	1	15	5	1	22	1431	0
0.144	1	1	15	5	1	22	1431	1
0.145	1	1	15	6	1	22	1431	0
0.145	1	1	15	6	1	22	1431	1
0.146	1	1	15	7	1	22	1431	0
0.146	1	1	15	7	1	22	1431	1
0.159	1	1	16	10	1	22	1431	0
0.159	1	1	16	10	1	22	1431	1
0.16	1	1	17	1	1	22	1431	0
0.16	1	1	17	1	1	22	1431	1
0.161	1	1	17	2	1	14	807	0
0.161	1	1	17	2	1	14	807	1
0.174	1	1	18	5	1	14	807	0
0.174	1	1	18	5	1	14	807	1
0.175	1	1	18	6	1	14	807	0
0.175	1	1	18	6	1	14	807	1
0.176	1	1	18	7	1	14	807	0
0.176	1	1	18	7	1	14	807	1
0.189	1	1	19	10	1	14	807	0
0.189	1	1	19	10	1	14	807	1
0.19	1	1	20	1	1	14	807	0
0.19	1	1	20	1	1	14	807	1
0.191	1	1	20	2	1	14	807	0
0.191	1	1	20	2	1	14	807	1
0.205	1	1	21	6	1	28	2292	0
0.205	1	1	21	6	1	28	2292	1
0.206	1	1	21	7	1	28	2292	0
0.206	1	1	21	7	1	28	2292	1
0.207	1	1	21	8	1	28	2292	0
0.207	1	1	21	8	1	28	2292	1
0.22	1	1	23	1	1	28	2292	0
0.22	1	1	23	1	1	28	2292	1
0.221	1	1	23	2	1	28	2292	0
0.221	1	1	23	2	1	28	2292	1
0.222	1	1	23	3	1	28	2292	0
0.222	1	1	23	3	1	28	2292	1
0.238	1	1	24	9	1	28	2292	0
0.238	1	1	24	9	1	28	2292	1
0.239	1	1	24	10	1	28	2292	0
0.239	1	1	24	10	1	28	2292	1
0.24	1	1	25	1	1	28	2292	0
0.24	1	1	25	1	1	28	2292	1
0.253	1	1	26	4	1	20	1335	0
0.253	1	1	26	4	1	20	1335	1
0.254	1	1	26	5	1	20	1335	0
0.254	1	1	26	5	1	20	1335	1
0.255	1	1	26	6	1	20	1335	0
0.255	1	1	26	6	1	20	1335	1
0.269	1	1	27	10	1	20	1335	0
0.269	1	1	27	10	1	20	1335	1
0.27	1	1	28	1	1	20	1335	0
0.27	1	1	28	1	1	20	1335	1
0.271	1	1	28	2	1	20	1335	0
0.271	1	1	28	2	1	20	1335	1
0.285	1	1	29	6	1	26	1908	0
0.285	1	1	29	6	1	26	1908	1
0.286	1	1	29	7	1	26	1908	0
0.286	1	1	29	7	1	26	1908	1
0.287	1	1	29	8	1	26	1908	0
0.287	1	1	29	8	1	26	1908	1
0.288	1	1	29	9	1	26	1908	0
0.288	1	1	29	9	1	26	1908	1
0.3	1	1	31	1	1	26	1908	0
0.3	1	1	31	1	1	26	1908	1
0.301	1	1	31	2	1	26	1908	0
0.301	1	1	31	2	1	26	1908	1
0.302	1	1	31	3	1	26	1908	0
0.302	1	1	31	3	1	26	1908	1
0.316	1	1	32	7	1	26	1908	0
0.316	1	1	32	7	1	26	1908	1
0.317	1	1	32	8	1	26	1908	0
0.317	1	1	32	8	1	26	1908	1
0.318	1	1	32	9	1	26	1908	0
0.318	1	1	32	9	1	26	1908	1
0.331	1	1	34	2	1	18	1143	0
0.331	1	1	34	2	1	18	1143	1
0.332	1	1	34	3	1	18	1143	0
0.332	1	1	34	3	1	18	1143	1
0.333	1	1	34	4	1	18	1143	0
0.333	1	1	34	4	1	18	1143	1
0.347	1	1	35	8	1	18	1143	0
0.347	1	1	35	8	1	18	1143	1
0.348	1	1	35	9	1	18	1143	0
0.348	1	1	35	9	1	18	1143	1
0.349	1	1	35	10	1	18	1143	0
0.349	1	1	35	10	1	18	1143	1
0.363	1	1	37	4	1	20	1335	0
0.363	1	1	37	4	1	20	1335	1
0.364	1	1	37	5	1	20	1335	0
0.364	1	1	37	5	1	20	1335	1
0.365	1	1	37	6	1	20	1335	0
0.365	1	1	37	6	1	20	1335	1
0.378	1	1	38	9	1	20	1335	0
0.378	1	1	38	9	1	20	1335	1
0.379	1	1	38	10	1	20	1335	0
0.379	1	1	38	10	1	20	1335	1
0.38	1	1	39	1	1	20	1335	0
0.38	1	1	39	1	1	20	1335	1
0.395	1	1	40	6	1	20	1335	0
0.395	1	1	40	6	1	20	1335	1
0.396	1	1	40	7	1	20	1335	0
0.396	1	1	40	7	1	20	1335	1
0.398	1	1	40	9	1	20	1335	0
0.398	1	1	40	9	1	20	1335	1
0.41	1	1	42	1	1	24	1692	0
0.41	1	1	42	1	1	24	1692	1
0.411	1	1	42	2	1	24	1692	0
0.411	1	1	42	2	1	24	1692	1
0.425	1	1	43	6	1	24	1692	0
0.425	1	1	43	6	1	24	1692	1
0.426	1	1	43	7	1	24	1692	0
0.426	1	1	43	7	1	24	1692	1
0.441	1	1	45	2	1	12	621	0
0.441	1	1	45	2	1	12	621	1
0.442	1	1	45	3	1	12	621	0
0.442	1	1	45	3	1	12	621	1
0.443	1	1	45	4	1	12	621	0
0.443	1	1	45	4	1	12	621	1
0.456	1	1	46	7	1	12	621	0
0.456	1	1	46	7	1	12	621	1
0.457	1	1	46	8	1	12	621	0
0.457	1	1	46	8	1	12	621	1
0.471	1	1	48	2	1	12	621	0
