% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	14	389	0	1	0
115	1	2	2	0	24	807	0	1	0
115	2	1	1	0	14	389	0	1	1
115	2	2	2	0	24	807	0	1	1
1131	1	1	1	0	4	105	0	1	0
1131	1	2	2	0	4	105	0	1	0
1131	2	1	1	0	4	105	0	1	1
1131	2	2	2	0	4	105	0	1	1
1149	1	1	1	0	4	225	0	1	0
1149	2	1	1	0	4	225	0	1	1
1155	1	2	2	0	4	225	0	1	0
1155	2	2	2	0	4	225	0	1	1
4370	1	1	1	0	2	137	0	1	0
4370	2	1	1	0	2	137	0	1	1
7595	1	1	1	0	2	137	0	1	0
7595	2	1	1	0	2	137	0	1	1
7822	1	1	1	0	10	549	0	1	0
7822	2	1	1	0	10	549	0	1	1
8381	1	2	2	0	4	225	0	1	0
8381	2	2	2	0	4	225	0	1	1
