% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	2	11	10	1	18	549	0
0.109	1	1	11	10	2	14	389	0
0.109	1	2	11	10	1	18	549	1
0.109	1	1	11	10	2	14	389	1
0.124	1	1	13	5	2	28	2292	0
0.124	1	1	13	5	2	28	2292	1
0.125	1	1	13	6	2	28	2292	0
0.125	1	1	13	6	2	28	2292	1
0.127	1	2	13	8	1	8	209	0
0.127	1	1	13	8	2	28	1095	0
0.127	1	2	13	8	1	8	209	1
0.127	1	1	13	8	2	28	1095	1
0.129	1	2	13	10	1	8	437	0
0.129	1	2	13	10	1	8	437	1
0.131	1	2	14	2	1	8	437	0
0.131	1	2	14	2	1	8	437	1
0.14	1	1	15	1	2	28	2292	0
0.14	1	1	15	1	2	28	2292	1
0.142	1	1	15	3	2	28	2292	0
0.142	1	1	15	3	2	28	2292	1
0.143	1	1	15	4	2	28	2292	0
0.143	1	1	15	4	2	28	2292	1
0.145	1	2	15	6	1	8	437	0
0.145	1	2	15	6	1	8	437	1
0.146	1	2	15	7	1	8	437	0
0.146	1	2	15	7	1	8	437	1
0.147	1	2	15	8	1	8	437	0
0.147	1	2	15	8	1	8	437	1
0.148	1	2	15	9	1	8	437	0
0.148	1	2	15	9	1	8	437	1
0.155	1	1	16	6	2	28	2292	0
0.155	1	1	16	6	2	28	2292	1
0.156	1	1	16	7	2	28	2292	0
0.156	1	1	16	7	2	28	2292	1
0.157	1	1	16	8	2	28	2292	0
0.157	1	1	16	8	2	28	2292	1
0.161	1	2	17	2	1	20	1335	0
0.161	1	2	17	2	1	20	1335	1
0.162	1	2	17	3	1	20	1335	0
0.162	1	2	17	3	1	20	1335	1
0.163	1	2	17	4	1	20	1335	0
0.163	1	2	17	4	1	20	1335	1
0.17	1	1	18	1	2	24	1692	0
0.17	1	1	18	1	2	24	1692	1
0.171	1	1	18	2	2	24	1692	0
0.171	1	1	18	2	2	24	1692	1
0.172	1	1	18	3	2	24	1692	0
0.172	1	1	18	3	2	24	1692	1
0.177	1	2	18	8	1	20	1335	0
0.177	1	2	18	8	1	20	1335	1
0.178	1	2	18	9	1	20	1335	0
0.178	1	2	18	9	1	20	1335	1
0.179	1	2	18	10	1	20	1335	0
0.179	1	2	18	10	1	20	1335	1
0.185	1	1	19	6	2	24	1692	0
0.185	1	1	19	6	2	24	1692	1
0.186	1	1	19	7	2	24	1692	0
0.186	1	1	19	7	2	24	1692	1
0.187	1	1	19	8	2	24	1692	0
0.187	1	1	19	8	2	24	1692	1
0.188	1	1	19	9	2	24	1692	0
0.188	1	1	19	9	2	24	1692	1
0.192	1	2	20	3	1	20	1335	0
0.192	1	2	20	3	1	20	1335	1
0.193	1	2	20	4	1	20	1335	0
0.193	1	2	20	4	1	20	1335	1
0.194	1	2	20	5	1	20	1335	0
0.194	1	2	20	5	1	20	1335	1
0.195	1	2	20	6	1	20	1335	0
0.195	1	2	20	6	1	20	1335	1
0.201	1	1	21	2	2	24	1692	0
0.201	1	1	21	2	2	24	1692	1
0.202	1	1	21	3	2	24	1692	0
0.202	1	1	21	3	2	24	1692	1
0.203	1	1	21	4	2	24	1692	0
0.203	1	1	21	4	2	24	1692	1
0.208	1	2	21	9	1	28	2292	0
0.208	1	2	21	9	1	28	2292	1
0.209	1	2	21	10	1	28	2292	0
0.209	1	2	21	10	1	28	2292	1
0.21	1	2	22	1	1	28	2292	0
0.21	1	2	22	1	1	28	2292	1
0.211	1	2	22	2	1	28	2292	0
0.211	1	2	22	2	1	28	2292	1
0.218	1	1	22	9	2	24	1692	0
0.218	1	1	22	9	2	24	1692	1
0.219	1	1	22	10	2	24	1692	0
0.219	1	1	22	10	2	24	1692	1
0.22	1	1	23	1	2	24	1692	0
0.22	1	1	23	1	2	24	1692	1
0.221	1	1	23	2	2	24	1692	0
0.221	1	1	23	2	2	24	1692	1
0.228	1	2	23	9	1	28	2292	0
0.228	1	2	23	9	1	28	2292	1
0.229	1	2	23	10	1	28	2292	0
0.229	1	2	23	10	1	28	2292	1
0.234	1	1	24	5	2	24	1692	0
0.234	1	1	24	5	2	24	1692	1
0.235	1	1	24	6	2	24	1692	0
0.235	1	1	24	6	2	24	1692	1
0.236	1	1	24	7	2	24	1692	0
0.236	1	1	24	7	2	24	1692	1
0.237	1	1	24	8	2	24	1692	0
0.237	1	1	24	8	2	24	1692	1
0.244	1	2	25	5	1	28	2292	0
0.244	1	2	25	5	1	28	2292	1
0.245	1	2	25	6	1	28	2292	0
0.245	1	2	25	6	1	28	2292	1
0.249	1	1	25	10	2	18	1143	0
0.249	1	1	25	10	2	18	1143	1
0.25	1	1	26	1	2	18	1143	0
0.25	1	1	26	1	2	18	1143	1
0.259	1	2	26	10	1	28	2292	0
0.259	1	2	26	10	1	28	2292	1
0.26	1	2	27	1	1	28	2292	0
0.26	1	2	27	1	1	28	2292	1
0.261	1	2	27	2	1	28	2292	0
0.261	1	2	27	2	1	28	2292	1
0.264	1	1	27	5	2	18	1143	0
0.264	1	1	27	5	2	18	1143	1
0.265	1	1	27	6	2	18	1143	0
0.265	1	1	27	6	2	18	1143	1
0.266	1	1	27	7	2	18	1143	0
0.266	1	1	27	7	2	18	1143	1
0.275	1	2	28	6	1	28	2292	0
0.275	1	2	28	6	1	28	2292	1
0.276	1	2	28	7	1	28	2292	0
0.276	1	2	28	7	1	28	2292	1
0.281	1	1	29	2	2	18	1143	0
0.281	1	1	29	2	2	18	1143	1
0.282	1	1	29	3	2	22	1431	0
0.282	1	1	29	3	2	22	1431	1
0.291	1	2	30	2	1	26	1908	0
0.291	1	2	30	2	1	26	1908	1
0.292	1	2	30	3	1	26	1908	0
0.292	1	2	30	3	1	26	1908	1
0.3	1	1	31	1	2	22	1431	0
0.3	1	1	31	1	2	22	1431	1
0.31	1	2	32	1	1	26	1908	0
0.31	1	2	32	1	1	26	1908	1
0.311	1	2	32	2	1	26	1908	0
0.311	1	2	32	2	1	26	1908	1
0.319	1	1	32	10	2	22	1431	0
0.319	1	1	32	10	2	22	1431	1
0.32	1	1	33	1	2	22	1431	0
0.32	1	1	33	1	2	22	1431	1
0.321	1	1	33	2	2	22	1431	0
0.321	1	1	33	2	2	22	1431	1
0.328	1	2	33	9	1	28	2292	0
0.328	1	2	33	9	1	28	2292	1
0.329	1	2	33	10	1	28	2292	0
0.329	1	2	33	10	1	28	2292	1
0.338	1	1	34	9	2	20	1335	0
0.338	1	1	34	9	2	20	1335	1
0.347	1	2	35	8	1	28	2292	0
0.347	1	2	35	8	1	28	2292	1
0.356	1	1	36	7	2	20	1335	0
0.356	1	1	36	7	2	20	1335	1
0.357	1	1	36	8	2	20	1335	0
0.357	1	1	36	8	2	20	1335	1
0.365	1	2	37	6	1	20	1335	0
0.365	1	2	37	6	1	20	1335	1
0.366	1	2	37	7	1	20	1335	0
0.366	1	2	37	7	1	20	1335	1
0.372	1	1	38	3	2	14	807	0
0.372	1	1	38	3	2	14	807	1
0.373	1	1	38	4	2	14	807	0
0.373	1	1	38	4	2	14	807	1
0.381	1	2	39	2	1	20	1335	0
0.381	1	2	39	2	1	20	1335	1
0.389	1	1	39	10	2	14	807	0
0.389	1	1	39	10	2	14	807	1
0.39	1	1	40	1	2	14	807	0
0.39	1	1	40	1	2	14	807	1
0.397	1	2	40	8	1	20	1335	0
0.397	1	2	40	8	1	20	1335	1
0.408	1	1	41	9	2	20	1335	0
0.408	1	1	41	9	2	20	1335	1
0.416	1	2	42	7	1	18	1143	0
0.416	1	2	42	7	1	18	1143	1
0.417	1	2	42	8	1	18	1143	0
0.417	1	2	42	8	1	18	1143	1
0.425	1	1	43	6	2	20	1335	0
0.425	1	1	43	6	2	20	1335	1
0.426	1	1	43	7	2	20	1335	0
0.426	1	1	43	7	2	20	1335	1
0.427	1	1	43	8	2	20	1335	0
0.427	1	1	43	8	2	20	1335	1
0.434	1	2	44	5	1	18	1143	0
0.434	1	2	44	5	1	18	1143	1
0.435	1	2	44	6	1	18	1143	0
0.435	1	2	44	6	1	18	1143	1
0.44	1	1	45	1	2	20	1335	0
0.44	1	1	45	1	2	20	1335	1
0.441	1	1	45	2	2	20	1335	0
0.441	1	1	45	2	2	20	1335	1
0.442	1	1	45	3	2	28	2292	0
0.442	1	1	45	3	2	28	2292	1
0.454	1	2	46	5	1	20	1335	0
0.454	1	2	46	5	1	20	1335	1
0.456	1	1	46	7	2	28	2292	0
0.456	1	1	46	7	2	28	2292	1
0.457	1	1	46	8	2	28	2292	0
0.457	1	1	46	8	2	28	2292	1
0.459	1	1	46	10	2	28	2292	0
0.459	1	1	46	10	2	28	2292	1
0.47	1	2	48	1	1	20	1335	0
0.47	1	2	48	1	1	20	1335	1
0.471	1	1	48	2	2	28	2292	0
0.471	1	1	48	2	2	28	2292	1
0.472	1	1	48	3	2	28	2292	0
0.472	1	1	48	3	2	28	2292	1
0.473	1	1	48	4	2	28	2292	0
0.473	1	1	48	4	2	28	2292	1
0.486	1	1	49	7	2	6	325	0
0.486	1	1	49	7	2	6	325	1
0.487	1	1	49	8	2	6	325	0
0.487	1	1	49	8	2	6	325	1
0.491	1	2	50	2	1	28	2292	0
0.491	1	2	50	2	1	28	2292	1
0.501	1	1	51	2	2	6	325	0
0.501	1	1	51	2	2	6	325	1
0.502	1	1	51	3	2	6	325	0
0.502	1	1	51	3	2	6	325	1
0.503	1	1	51	4	2	6	325	0
0.503	1	1	51	4	2	6	325	1
0.507	1	2	51	8	1	28	2292	0
0.507	1	2	51	8	1	28	2292	1
0.508	1	2	51	9	1	28	2292	0
0.508	1	2	51	9	1	28	2292	1
0.517	1	1	52	8	2	6	325	0
0.517	1	1	52	8	2	6	325	1
0.518	1	1	52	9	2	6	325	0
0.518	1	1	52	9	2	6	325	1
0.523	1	2	53	4	1	4	225	0
0.523	1	2	53	4	1	4	225	1
0.524	1	2	53	5	1	4	225	0
0.524	1	2	53	5	1	4	225	1
0.538	1	2	54	9	1	4	225	0
0.538	1	2	54	9	1	4	225	1
0.539	1	2	54	10	1	4	225	0
0.539	1	2	54	10	1	4	225	1
0.554	1	2	56	5	1	4	225	0
0.554	1	2	56	5	1	4	225	1
0.555	1	2	56	6	1	4	225	0
0.555	1	2	56	6	1	4	225	1
0.569	1	2	57	10	1	22	1431	0
0.569	1	2	57	10	1	22	1431	1
0.577	1	2	58	8	1	22	1431	0
0.577	1	2	58	8	1	22	1431	1
0.586	1	2	59	7	1	22	1431	0
0.586	1	2	59	7	1	22	1431	1
