% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	2	1	0	24	807	0	1	1	0
128	1	1	2	0	28	2292	0	1	1	0
131	1	2	1	0	12	621	0	1	1	0
146	1	1	2	0	28	2292	0	1	1	0
147	1	2	1	0	12	621	0	1	1	0
161	1	1	2	0	28	2292	0	1	1	0
162	1	2	1	0	12	621	0	1	1	0
177	1	1	2	0	24	1692	0	1	1	0
179	1	2	1	0	28	2292	0	1	1	0
194	1	2	1	0	28	2292	0	1	1	0
200	1	1	2	0	24	1692	0	1	1	0
211	1	2	1	0	18	1143	0	1	1	0
217	1	1	2	0	22	1431	0	1	1	0
226	1	2	1	0	18	1143	0	1	1	0
232	1	1	2	0	22	1431	0	1	1	0
242	1	2	1	0	18	1143	0	1	1	0
248	1	1	2	0	20	1335	0	1	1	0
259	1	2	1	0	10	549	0	1	1	0
263	1	1	2	0	20	1335	0	1	1	0
275	1	2	1	0	10	549	0	1	1	0
278	1	2	1	0	10	261	0	1	0	0
278	1	1	2	0	20	645	0	1	1	0
291	1	2	1	0	18	1143	0	1	1	0
294	1	2	1	0	28	1095	0	1	0	0
294	1	1	2	0	22	693	0	1	1	0
307	1	2	1	0	18	1143	0	1	1	0
311	1	1	2	0	22	1431	0	1	1	0
323	1	2	1	0	18	1143	0	1	1	0
327	1	1	2	0	22	1431	0	1	1	0
338	1	2	1	0	12	621	0	1	1	0
344	1	1	2	0	16	967	0	1	1	0
354	1	2	1	0	12	621	0	1	1	0
362	1	1	2	0	16	967	0	1	1	0
370	1	2	1	0	28	2292	0	1	1	0
378	1	1	2	0	28	2292	0	1	1	0
386	1	2	1	0	28	2292	0	1	1	0
394	1	1	2	0	28	2292	0	1	1	0
402	1	2	1	0	28	2292	0	1	1	0
410	1	1	2	0	18	1143	0	1	1	0
418	1	2	1	0	22	1431	0	1	1	0
426	1	1	2	0	18	1143	0	1	1	0
436	1	2	1	0	22	1431	0	1	1	0
442	1	1	2	0	18	1143	0	1	1	0
452	1	2	1	0	24	1692	0	1	1	0
458	1	1	2	0	18	1143	0	1	1	0
470	1	2	1	0	24	1692	0	1	1	0
478	1	1	2	0	18	1143	0	1	1	0
494	1	1	2	0	8	437	0	1	1	0
509	1	1	2	0	8	437	0	1	1	0
525	1	1	2	0	8	437	0	1	1	0
542	1	1	2	0	16	967	0	1	1	0
557	1	1	2	0	16	967	0	1	1	0
572	1	1	2	0	28	2292	0	1	0	0
579	1	1	2	0	28	2292	1	0	1	0
596	1	1	2	0	28	2292	0	1	1	0
612	1	1	2	0	16	967	0	1	1	0
634	1	1	2	0	16	967	0	1	1	0
650	1	1	2	0	6	325	0	1	1	0
668	1	1	2	0	6	325	0	1	1	0
684	1	1	2	0	6	325	0	1	1	0
701	1	1	2	0	24	1692	0	1	1	0
722	1	1	2	0	24	1692	0	1	1	0
738	1	1	2	0	22	1431	0	1	1	0
755	1	1	2	0	22	1431	0	1	1	0
771	1	1	2	0	4	225	0	1	1	0
786	1	1	2	0	4	225	0	1	1	0
802	1	1	2	0	4	225	0	1	1	0
823	1	1	2	0	14	807	0	1	1	0
839	1	1	2	0	14	807	0	1	1	0
856	1	1	2	0	12	621	0	1	1	0
872	1	1	2	0	12	621	0	1	1	0
894	1	1	2	0	24	1692	0	1	1	0
910	1	1	2	0	24	1692	0	1	1	0
931	1	1	2	0	12	621	0	1	1	0
948	1	1	2	0	12	621	0	1	1	0
968	1	1	2	0	24	1692	0	1	1	0
983	1	1	2	0	24	1692	0	1	1	0
1001	1	1	2	0	24	1692	0	1	1	0
1017	1	1	2	0	22	1431	0	1	1	0
1032	1	1	2	0	22	1431	0	1	1	0
1047	1	1	2	0	22	1431	0	1	1	0
1062	1	1	2	0	22	1431	0	1	1	0
1077	1	1	2	0	22	1431	0	1	1	0
1095	1	1	2	0	4	225	0	1	1	0
1111	1	1	2	0	4	225	0	1	1	0
1126	1	1	2	0	4	225	0	1	1	0
1142	1	1	2	0	26	1908	0	1	1	0
1158	1	1	2	0	26	1908	0	1	1	0
1174	1	1	2	0	22	1431	0	1	1	0
1184	1	2	1	0	22	1431	0	1	1	0
1190	1	1	2	0	22	1431	0	1	1	0
1200	1	2	1	0	22	1431	0	1	1	0
1218	1	2	1	0	20	1335	0	1	1	0
1235	1	2	1	0	20	1335	0	1	1	0
1255	1	2	1	0	18	1143	0	1	1	0
1272	1	2	1	0	18	1143	0	1	1	0
1288	1	2	1	0	24	1692	0	1	1	0
1303	1	2	1	0	24	1692	0	1	1	0
1320	1	2	1	0	24	1692	0	1	1	0
1339	1	2	1	0	24	1692	0	1	1	0
1355	1	2	1	0	24	1692	0	1	1	0
1371	1	2	1	0	26	1908	0	1	1	0
1388	1	2	1	0	26	1908	0	1	1	0
1406	1	1	2	0	28	2292	0	1	1	0
1411	1	2	1	0	24	1692	0	1	1	0
1425	1	1	2	0	10	549	0	1	1	0
1431	1	2	1	0	24	1692	0	1	1	0
1441	1	1	2	0	10	549	0	1	1	0
1446	1	2	1	0	24	1692	0	1	1	0
1459	1	1	2	0	28	2292	0	1	1	0
1464	1	2	1	0	20	1335	0	1	1	0
1474	1	1	2	0	28	2292	0	1	1	0
1480	1	2	1	0	20	1335	0	1	1	0
1495	1	2	1	0	18	549	0	1	1	0
1495	1	1	2	0	28	1095	0	1	1	0
1511	1	1	2	0	26	1908	0	1	1	0
1512	1	2	1	0	8	437	0	1	1	0
1528	1	1	2	0	16	967	0	1	1	0
1529	1	2	1	0	28	1095	0	1	1	0
1529	1	1	2	0	16	453	0	1	0	0
1544	1	1	2	0	16	967	0	1	1	0
1545	1	2	1	0	28	1095	0	1	1	0
1545	1	1	2	0	16	453	0	1	0	0
1561	1	1	2	0	16	967	0	1	1	0
1564	1	2	1	0	28	2292	0	1	1	0
1577	1	1	2	0	20	1335	0	1	1	0
1580	1	2	1	0	12	621	0	1	1	0
1595	1	2	1	0	12	621	0	1	1	0
1596	1	1	2	0	20	1335	0	1	1	0
1611	1	2	1	0	28	2292	0	1	1	0
1612	1	1	2	0	22	1431	0	1	1	0
1627	1	2	1	0	28	1095	0	1	1	0
1627	1	1	2	0	22	693	0	1	1	0
1644	1	2	1	0	28	2292	0	1	1	0
1651	1	1	2	0	14	807	0	1	1	0
1660	1	2	1	0	18	1143	0	1	1	0
1667	1	1	2	0	14	807	0	1	1	0
1675	1	2	1	0	18	1143	0	1	1	0
1682	1	1	2	0	14	807	0	1	1	0
1697	1	2	1	0	28	2292	0	1	1	0
1699	1	1	2	0	18	1143	0	1	1	0
1713	1	2	1	0	28	2292	0	1	1	0
1715	1	1	2	0	18	1143	0	1	1	0
1730	1	2	1	0	14	807	0	1	1	0
1731	1	2	1	0	16	453	0	1	0	0
1731	1	1	2	0	28	1095	0	1	1	0
1747	1	2	1	0	14	807	0	1	1	0
1749	1	2	1	0	16	453	0	1	0	0
1749	1	1	2	0	28	1095	0	1	1	0
1763	1	2	1	0	14	807	0	1	1	0
1766	1	1	2	0	26	1908	0	1	1	0
1778	1	2	1	0	12	621	0	1	1	0
1784	1	1	2	0	24	1692	0	1	1	0
1800	1	2	1	0	16	453	0	1	1	0
1800	1	1	2	0	28	1095	0	1	1	0
1816	1	2	1	0	8	437	0	1	1	0
1817	1	2	1	0	26	903	0	1	0	0
1817	1	1	2	0	20	645	0	1	1	0
1832	1	2	1	0	8	437	0	1	1	0
1833	1	1	2	0	20	1335	0	1	1	0
1849	1	1	2	0	28	2292	0	1	1	0
1852	1	2	1	0	14	807	0	1	1	0
1865	1	1	2	0	28	2292	0	1	1	0
1869	1	2	1	0	14	807	0	1	1	0
1881	1	1	2	0	28	2292	0	1	1	0
1886	1	2	1	0	14	807	0	1	1	0
1897	1	1	2	0	14	807	0	1	1	0
1903	1	2	1	0	16	967	0	1	1	0
1914	1	1	2	0	14	807	0	1	1	0
1920	1	2	1	0	16	967	0	1	1	0
1930	1	1	2	0	12	621	0	1	1	0
1935	1	2	1	0	24	1692	0	1	1	0
1946	1	1	2	0	12	621	0	1	1	0
1951	1	2	1	0	24	1692	0	1	1	0
1961	1	1	2	0	12	621	0	1	1	0
1968	1	2	1	0	20	1335	0	1	1	0
1977	1	1	2	0	28	2292	0	1	1	0
1984	1	2	1	0	20	1335	0	1	1	0
1994	1	1	2	0	28	2292	0	1	1	0
2000	1	2	1	0	20	1335	0	1	1	0
2009	1	1	2	0	12	621	0	1	1	0
2016	1	2	1	0	20	1335	0	1	1	0
2025	1	1	2	0	12	621	0	1	1	0
2034	1	2	1	0	20	1335	0	1	1	0
2041	1	1	2	0	12	621	0	1	1	0
2050	1	2	1	0	14	807	0	1	1	0
2057	1	1	2	0	20	1335	0	1	1	0
2065	1	2	1	0	14	807	0	1	1	0
2076	1	1	2	0	20	1335	0	1	1	0
2081	1	2	1	0	14	807	0	1	1	0
2093	1	1	2	0	20	1335	0	1	1	0
2097	1	2	1	0	20	1335	0	1	1	0
2110	1	1	2	0	20	1335	0	1	1	0
2113	1	2	1	0	20	1335	0	1	1	0
2127	1	1	2	0	20	1335	0	1	1	0
2129	1	2	1	0	16	967	0	1	1	0
2144	1	1	2	0	8	437	0	1	1	0
2146	1	2	1	0	16	967	0	1	1	0
2164	1	1	2	0	8	437	0	1	1	0
2165	1	2	1	0	16	967	0	1	1	0
2180	1	2	1	0	18	1143	0	1	1	0
2181	1	2	1	0	18	549	0	1	0	0
2181	1	1	2	0	12	301	0	1	1	0
2196	1	2	1	0	18	1143	0	1	1	0
2197	1	1	2	0	12	621	0	1	1	0
2211	1	2	1	0	22	1431	0	1	1	0
2214	1	1	2	0	18	1143	0	1	1	0
2228	1	2	1	0	22	1431	0	1	1	0
2230	1	1	2	0	18	1143	0	1	1	0
2246	1	2	1	0	22	1431	0	1	1	0
2247	1	1	2	0	18	1143	0	1	1	0
2262	1	2	1	0	24	1692	0	1	1	0
2264	1	1	2	0	24	1692	0	1	1	0
2282	1	2	1	0	24	1692	0	1	1	0
2283	1	1	2	0	24	1692	0	1	1	0
2298	1	2	1	0	4	225	0	1	1	0
2299	1	1	2	0	2	137	0	1	1	0
2315	1	2	1	0	4	225	0	1	1	0
2316	1	1	2	0	2	137	0	1	1	0
2333	1	1	2	0	26	1908	0	1	1	0
2338	1	2	1	0	18	1143	0	1	1	0
2349	1	1	2	0	26	1908	0	1	1	0
2354	1	2	1	0	18	1143	0	1	1	0
2365	1	1	2	0	26	1908	0	1	1	0
2371	1	2	1	0	18	1143	0	1	1	0
2382	1	1	2	0	10	549	0	1	1	0
2387	1	2	1	0	18	1143	0	1	1	0
2398	1	1	2	0	10	549	0	1	1	0
2405	1	2	1	0	18	1143	0	1	1	0
2420	1	2	1	0	24	807	0	1	1	0
2420	1	1	2	0	18	549	0	1	1	0
2436	1	2	1	0	24	807	0	1	1	0
2436	1	1	2	0	18	549	0	1	1	0
2452	1	2	1	0	28	1095	0	1	1	0
2452	1	1	2	0	10	261	0	1	1	0
2468	1	2	1	0	22	693	0	1	1	0
2468	1	1	2	0	28	1095	0	1	1	0
2484	1	2	1	0	22	1431	0	1	1	0
2487	1	1	2	0	10	549	0	1	1	0
2500	1	2	1	0	20	1335	0	1	1	0
2502	1	2	1	0	20	645	0	1	0	0
2502	1	1	2	0	12	301	0	1	1	0
2511	1	1	2	0	12	621	0	1	1	0
2515	1	2	1	0	20	1335	0	1	1	0
2526	1	1	2	0	12	621	0	1	1	0
2535	1	2	1	0	16	967	0	1	1	0
2549	1	1	2	0	14	807	0	1	1	0
2552	1	2	1	0	16	967	0	1	1	0
2565	1	1	2	0	14	807	0	1	1	0
2568	1	2	1	0	22	1431	0	1	1	0
2582	1	1	2	0	26	1908	0	1	1	0
2584	1	2	1	0	22	1431	0	1	1	0
2599	1	1	2	0	26	1908	0	1	1	0
2600	1	2	1	0	22	1431	0	1	1	0
2620	1	1	2	0	28	2292	0	1	1	0
2621	1	2	1	0	26	1908	0	1	1	0
2640	1	1	2	0	28	2292	0	1	1	0
2643	1	2	1	0	26	1908	0	1	1	0
2657	1	1	2	0	10	549	0	1	1	0
2659	1	2	1	0	22	1431	0	1	1	0
2673	1	1	2	0	10	549	0	1	1	0
2675	1	2	1	0	22	1431	0	1	1	0
2690	1	2	1	0	24	807	0	1	1	0
2690	1	1	2	0	16	453	0	1	1	0
2706	1	2	1	0	28	1095	0	1	1	0
2706	1	1	2	0	28	1095	0	1	1	0
2722	1	1	2	0	16	967	0	1	1	0
2728	1	2	1	0	10	549	0	1	1	0
2737	1	1	2	0	24	1692	0	1	1	0
2743	1	2	1	0	10	549	0	1	1	0
2753	1	1	2	0	24	1692	0	1	1	0
2761	1	2	1	0	10	549	0	1	1	0
2770	1	1	2	0	12	621	0	1	1	0
2778	1	2	1	0	14	807	0	1	1	0
2786	1	1	2	0	12	621	0	1	1	0
2793	1	2	1	0	14	807	0	1	1	0
2801	1	2	1	0	14	807	0	1	1	0
2804	1	1	2	0	12	621	0	1	1	0
2809	1	2	1	0	24	1692	0	1	1	0
2816	1	2	1	0	24	1692	0	1	1	0
2820	1	1	2	0	8	437	0	1	1	0
2825	1	2	1	0	24	1692	0	1	1	0
2836	1	1	2	0	8	437	0	1	1	0
2841	1	2	1	0	24	1692	0	1	1	0
2857	1	1	2	0	24	1692	0	1	1	0
2862	1	2	1	0	20	1335	0	1	1	0
2874	1	1	2	0	24	1692	0	1	1	0
