% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	28	1095	0	1	1	0
115	1	2	2	0	28	1095	0	1	1	0
131	1	1	1	0	8	209	0	1	1	0
131	1	2	2	0	22	693	0	1	1	0
147	1	1	1	0	28	1095	0	1	1	0
147	1	2	2	0	20	645	0	1	1	0
163	1	1	1	0	28	1095	0	1	1	0
163	1	2	2	0	20	645	0	1	1	0
179	1	1	1	0	28	1095	0	1	1	0
179	1	2	2	0	18	549	0	1	1	0
195	1	1	1	0	20	1335	0	1	1	0
200	1	2	2	0	18	1143	0	1	1	0
211	1	1	1	0	6	325	0	1	1	0
211	2	1	1	0	6	325	0	1	1	1
216	1	2	2	0	20	1335	0	1	1	0
226	1	1	1	0	6	325	0	1	1	0
226	2	1	1	0	6	325	0	1	1	1
232	1	2	2	0	20	1335	0	1	1	0
241	1	2	2	0	20	1335	0	1	1	0
242	1	1	1	0	6	325	0	1	1	0
254	1	2	2	0	4	225	0	1	1	0
254	2	2	2	0	4	225	0	1	1	1
258	1	1	1	0	26	903	0	1	1	0
258	1	2	2	0	4	105	0	1	0	0
270	1	2	2	0	4	225	0	1	1	0
270	2	2	2	0	4	225	0	1	1	1
273	1	1	1	0	26	903	0	1	1	0
273	1	2	2	0	4	105	0	1	0	0
286	1	2	2	0	4	225	0	1	1	0
286	2	2	2	0	4	225	0	1	1	1
289	1	1	1	0	20	645	0	1	1	0
289	1	2	2	0	24	807	0	1	0	0
301	1	2	2	0	24	1692	0	1	1	0
306	1	1	1	0	20	1335	0	1	1	0
317	1	2	2	0	24	1692	0	1	1	0
322	1	1	1	0	20	1335	0	1	1	0
333	1	2	2	0	24	1692	0	1	1	0
338	1	1	1	0	20	1335	0	1	1	0
348	1	2	2	0	24	1692	0	1	1	0
354	1	1	1	0	20	1335	0	1	1	0
364	1	2	2	0	24	1692	0	1	1	0
370	1	1	1	0	14	807	0	1	1	0
381	1	2	2	0	28	2292	0	1	1	0
385	1	1	1	0	14	807	0	1	1	0
397	1	2	2	0	28	2292	0	1	1	0
401	1	1	1	0	14	807	0	1	1	0
417	1	1	1	0	4	225	0	1	1	0
417	2	1	1	0	4	225	0	1	1	1
419	1	1	1	0	28	1095	0	1	0	0
419	1	2	2	0	22	693	0	1	1	0
432	1	1	1	0	4	225	0	1	1	0
432	2	1	1	0	4	225	0	1	1	1
435	1	2	2	0	22	1431	0	1	1	0
448	1	1	1	0	12	621	0	1	1	0
450	1	1	1	0	28	1095	0	1	0	0
450	1	2	2	0	28	1095	0	1	1	0
464	1	1	1	0	12	621	0	1	1	0
466	1	2	2	0	20	1335	0	1	1	0
482	1	2	2	0	20	1335	0	1	1	0
1178	1	1	1	0	24	807	0	1	1	0
1178	1	2	2	0	22	693	0	1	1	0
1194	1	1	1	0	24	807	0	1	1	0
1194	1	2	2	0	22	693	0	1	1	0
1210	1	1	1	0	16	453	0	1	1	0
1210	1	2	2	0	22	693	0	1	1	0
1226	1	1	1	0	16	453	0	1	1	0
1226	1	2	2	0	22	693	0	1	1	0
1243	1	1	1	0	16	453	0	1	1	0
1243	1	2	2	0	22	693	0	1	1	0
1259	1	1	1	0	14	389	0	1	1	0
1259	1	2	2	0	28	1095	0	1	1	0
1275	1	1	1	0	14	389	0	1	1	0
1275	1	2	2	0	28	1095	0	1	1	0
1290	1	2	2	0	16	967	0	1	1	0
1293	1	1	1	0	26	903	0	1	1	0
1293	1	2	2	0	16	453	0	1	0	0
1307	1	2	2	0	16	967	0	1	1	0
1310	1	1	1	0	26	1908	0	1	1	0
1323	1	2	2	0	16	967	0	1	1	0
1326	1	1	1	0	26	1908	0	1	1	0
1339	1	2	2	0	18	1143	0	1	1	0
1342	1	1	1	0	22	693	0	1	1	0
1342	1	2	2	0	18	549	0	1	0	0
1356	1	2	2	0	18	1143	0	1	1	0
1359	1	1	1	0	22	1431	0	1	1	0
1372	1	2	2	0	18	1143	0	1	1	0
1374	1	1	1	0	12	621	0	1	1	0
1388	1	2	2	0	18	1143	0	1	1	0
1390	1	1	1	0	24	807	0	1	1	0
1390	1	2	2	0	28	1095	0	1	0	0
1407	1	2	2	0	18	1143	0	1	1	0
1412	1	1	1	0	18	1143	0	1	1	0
1424	1	2	2	0	24	1692	0	1	1	0
1429	1	1	1	0	18	1143	0	1	1	0
1439	1	2	2	0	24	1692	0	1	1	0
1445	1	1	1	0	18	1143	0	1	1	0
1455	1	2	2	0	2	137	0	1	1	0
1455	2	2	2	0	2	137	0	1	1	1
1461	1	1	1	0	10	549	0	1	1	0
1471	1	2	2	0	2	137	0	1	1	0
1477	1	1	1	0	10	549	0	1	1	0
1480	1	2	2	0	2	137	0	1	1	0
1480	2	2	2	0	2	137	0	1	1	1
1493	1	1	1	0	18	1143	0	1	1	0
1496	1	2	2	0	20	1335	0	1	1	0
1509	1	1	1	0	18	1143	0	1	1	0
1512	1	2	2	0	20	1335	0	1	1	0
1524	1	1	1	0	18	1143	0	1	1	0
1529	1	2	2	0	6	325	0	1	1	0
1541	1	1	1	0	22	1431	0	1	1	0
1546	1	2	2	0	6	325	0	1	1	0
1558	1	1	1	0	22	1431	0	1	1	0
1561	1	2	2	0	6	325	0	1	1	0
1574	1	1	1	0	26	1908	0	1	1	0
1577	1	2	2	0	14	807	0	1	1	0
1590	1	1	1	0	26	1908	0	1	1	0
1594	1	2	2	0	14	807	0	1	1	0
1607	1	1	1	0	18	1143	0	1	1	0
1616	1	2	2	0	22	1431	0	1	1	0
1623	1	1	1	0	18	1143	0	1	1	0
1632	1	2	2	0	22	1431	0	1	1	0
1644	1	1	1	0	18	1143	0	1	1	0
