% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	2	11	10	1	18	549	0
0.109	1	1	11	10	2	18	549	0
0.109	1	2	11	10	1	18	549	1
0.109	1	1	11	10	2	18	549	1
0.124	1	2	13	5	1	28	2292	0
0.124	1	2	13	5	1	28	2292	1
0.125	1	2	13	6	1	28	2292	0
0.125	1	2	13	6	1	28	2292	1
0.126	1	2	13	7	1	28	2292	0
0.126	1	2	13	7	1	28	2292	1
0.132	1	1	14	3	2	20	1335	0
0.132	1	1	14	3	2	20	1335	1
0.136	1	1	14	7	2	20	1335	0
0.136	1	1	14	7	2	20	1335	1
0.145	1	2	15	6	1	28	2292	0
0.145	1	2	15	6	1	28	2292	1
0.157	1	1	16	8	2	20	1335	0
0.157	1	1	16	8	2	20	1335	1
0.158	1	1	16	9	2	20	1335	0
0.158	1	1	16	9	2	20	1335	1
0.16	1	2	17	1	1	28	2292	0
0.16	1	2	17	1	1	28	2292	1
0.161	1	2	17	2	1	4	225	0
0.161	1	2	17	2	1	4	225	1
0.162	1	2	17	3	1	4	225	0
0.162	1	2	17	3	1	4	225	1
0.175	1	2	18	6	1	4	225	0
0.175	1	2	18	6	1	4	225	1
0.176	1	2	18	7	1	4	225	0
0.176	1	2	18	7	1	4	225	1
0.177	1	2	18	8	1	4	225	0
0.177	1	2	18	8	1	4	225	1
0.178	1	2	18	9	1	4	225	0
0.178	1	2	18	9	1	4	225	1
0.198	1	2	20	9	1	4	225	0
0.198	1	2	20	9	1	4	225	1
0.213	1	2	22	4	1	22	1431	0
0.213	1	2	22	4	1	22	1431	1
0.214	1	2	22	5	1	22	1431	0
0.214	1	2	22	5	1	22	1431	1
0.215	1	2	22	6	1	22	1431	0
0.215	1	2	22	6	1	22	1431	1
0.216	1	2	22	7	1	22	1431	0
0.216	1	2	22	7	1	22	1431	1
0.228	1	2	23	9	1	22	1431	0
0.228	1	2	23	9	1	22	1431	1
0.229	1	2	23	10	1	22	1431	0
0.229	1	2	23	10	1	22	1431	1
0.23	1	2	24	1	1	22	1431	0
0.23	1	2	24	1	1	22	1431	1
0.231	1	2	24	2	1	22	1431	0
0.231	1	2	24	2	1	22	1431	1
0.243	1	2	25	4	1	14	807	0
0.243	1	2	25	4	1	14	807	1
0.244	1	2	25	5	1	14	807	0
0.244	1	2	25	5	1	14	807	1
0.245	1	2	25	6	1	14	807	0
0.245	1	2	25	6	1	14	807	1
0.246	1	2	25	7	1	14	807	0
0.246	1	2	25	7	1	14	807	1
0.258	1	2	26	9	1	14	807	0
0.258	1	2	26	9	1	14	807	1
0.259	1	2	26	10	1	14	807	0
0.259	1	2	26	10	1	14	807	1
0.26	1	2	27	1	1	14	807	0
0.26	1	2	27	1	1	14	807	1
0.261	1	2	27	2	1	14	807	0
0.261	1	2	27	2	1	14	807	1
0.277	1	2	28	8	1	14	807	0
0.277	1	2	28	8	1	14	807	1
0.293	1	2	30	4	1	14	807	0
0.293	1	2	30	4	1	14	807	1
0.294	1	2	30	5	1	14	807	0
0.294	1	2	30	5	1	14	807	1
0.295	1	2	30	6	1	14	807	0
0.295	1	2	30	6	1	14	807	1
0.314	1	2	32	5	1	14	807	0
0.314	1	2	32	5	1	14	807	1
0.329	1	2	33	10	1	10	549	0
0.329	1	2	33	10	1	10	549	1
0.33	1	2	34	1	1	10	549	0
0.33	1	2	34	1	1	10	549	1
0.331	1	2	34	2	1	10	549	0
0.331	1	2	34	2	1	10	549	1
0.344	1	2	35	5	1	10	549	0
0.344	1	2	35	5	1	10	549	1
0.345	1	2	35	6	1	10	549	0
0.345	1	2	35	6	1	10	549	1
0.346	1	2	35	7	1	10	549	0
0.346	1	2	35	7	1	10	549	1
0.36	1	2	37	1	1	10	549	0
0.36	1	2	37	1	1	10	549	1
0.361	1	2	37	2	1	10	549	0
0.361	1	2	37	2	1	10	549	1
0.362	1	2	37	3	1	10	549	0
0.362	1	2	37	3	1	10	549	1
0.376	1	2	38	7	1	10	549	0
0.376	1	2	38	7	1	10	549	1
0.384	1	2	39	5	1	10	549	0
0.384	1	2	39	5	1	10	549	1
0.391	1	2	40	2	1	10	549	0
0.391	1	2	40	2	1	10	549	1
0.392	1	2	40	3	1	10	549	0
0.392	1	2	40	3	1	10	549	1
0.4	1	2	41	1	1	10	549	0
0.4	1	2	41	1	1	10	549	1
0.401	1	2	41	2	1	14	807	0
0.401	1	2	41	2	1	14	807	1
0.402	1	2	41	3	1	14	807	0
0.402	1	2	41	3	1	14	807	1
