% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	28	1095	0	1	1	0
115	1	2	2	0	28	1095	0	1	1	0
131	1	1	1	0	28	2292	0	1	1	0
133	1	1	1	0	28	1095	0	1	0	0
133	1	2	2	0	28	1095	0	1	1	0
150	1	1	1	0	28	2292	0	1	0	0
153	1	2	2	0	28	2292	0	1	1	0
157	1	1	1	0	28	2292	1	0	1	0
174	1	1	1	0	20	1335	0	1	1	0
180	1	2	2	0	28	2292	0	1	1	0
190	1	1	1	0	20	1335	0	1	1	0
206	1	1	1	0	20	1335	0	1	1	0
221	1	1	1	0	22	1431	0	1	1	0
236	1	1	1	0	22	1431	0	1	1	0
252	1	1	1	0	20	1335	0	1	1	0
270	1	1	1	0	20	1335	0	1	1	0
285	1	1	1	0	20	1335	0	1	1	0
300	1	1	1	0	20	1335	0	1	1	0
315	1	1	1	0	20	1335	0	1	1	0
330	1	1	1	0	24	1692	0	1	1	0
345	1	1	1	0	24	1692	0	1	1	0
360	1	1	1	0	24	1692	0	1	1	0
375	1	1	1	0	28	2292	0	1	1	0
390	1	1	1	0	28	2292	0	1	1	0
406	1	1	1	0	28	2292	0	1	1	0
422	1	1	1	0	28	2292	0	1	1	0
438	1	1	1	0	28	2292	0	1	1	0
454	1	1	1	0	28	2292	0	1	1	0
469	1	1	1	0	28	2292	0	1	1	0
484	1	1	1	0	28	2292	0	1	1	0
499	1	1	1	0	28	2292	0	1	1	0
514	1	1	1	0	28	2292	0	1	1	0
529	1	1	1	0	28	2292	0	1	1	0
544	1	1	1	0	28	2292	0	1	1	0
560	1	1	1	0	28	2292	0	1	1	0
575	1	1	1	0	28	2292	0	1	1	0
590	1	1	1	0	28	2292	0	1	1	0
605	1	1	1	0	28	2292	0	1	1	0
620	1	1	1	0	22	1431	0	1	1	0
635	1	1	1	0	22	1431	0	1	1	0
1148	1	2	2	0	28	2292	0	1	1	0
1163	1	2	2	0	28	2292	0	1	1	0
1178	1	2	2	0	28	2292	0	1	1	0
1189	1	1	1	0	18	1143	0	1	1	0
1193	1	2	2	0	28	2292	0	1	1	0
1208	1	2	2	0	28	2292	0	1	1	0
1224	1	2	2	0	28	2292	0	1	1	0
1240	1	2	2	0	28	2292	0	1	1	0
1255	1	2	2	0	28	2292	0	1	1	0
1270	1	2	2	0	28	2292	0	1	1	0
1285	1	2	2	0	28	2292	0	1	1	0
1301	1	2	2	0	28	2292	0	1	1	0
1317	1	2	2	0	28	2292	0	1	1	0
1335	1	2	2	0	22	1431	0	1	1	0
1350	1	2	2	0	22	1431	0	1	1	0
1365	1	2	2	0	22	1431	0	1	1	0
1380	1	2	2	0	28	2292	0	1	1	0
1395	1	2	2	0	28	2292	0	1	1	0
1404	1	1	1	0	28	2292	0	1	1	0
1416	1	2	2	0	28	2292	0	1	1	0
1422	1	1	1	0	28	2292	0	1	1	0
1439	1	1	1	0	28	2292	0	1	1	0
1442	1	2	2	0	28	2292	0	1	1	0
1456	1	1	1	0	26	1908	0	1	1	0
1472	1	1	1	0	26	1908	0	1	1	0
1488	1	1	1	0	28	2292	0	1	1	0
1505	1	1	1	0	28	2292	0	1	1	0
1520	1	1	1	0	28	2292	0	1	1	0
1535	1	1	1	0	28	2292	0	1	1	0
1551	1	1	1	0	28	2292	0	1	1	0
1567	1	1	1	0	28	2292	0	1	1	0
1583	1	1	1	0	28	2292	0	1	1	0
1598	1	1	1	0	28	2292	0	1	1	0
1615	1	1	1	0	28	2292	0	1	1	0
1630	1	1	1	0	28	2292	0	1	1	0
1645	1	1	1	0	28	2292	0	1	0	0
1652	1	1	1	0	28	2292	1	0	1	0
1668	1	1	1	0	20	1335	0	1	1	0
1683	1	1	1	0	20	1335	0	1	1	0
1698	1	1	1	0	28	2292	0	1	1	0
1713	1	1	1	0	28	2292	0	1	1	0
1729	1	1	1	0	28	2292	0	1	1	0
1744	1	1	1	0	28	2292	0	1	1	0
1759	1	1	1	0	28	2292	0	1	1	0
1774	1	1	1	0	28	2292	0	1	1	0
1789	1	1	1	0	28	2292	0	1	1	0
1804	1	1	1	0	28	2292	0	1	1	0
1820	1	1	1	0	28	2292	0	1	1	0
1841	1	1	1	0	28	2292	0	1	1	0
1857	1	1	1	0	28	2292	0	1	1	0
1872	1	1	1	0	28	2292	0	1	1	0
1887	1	1	1	0	28	2292	0	1	1	0
1903	1	1	1	0	28	2292	0	1	1	0
1920	1	1	1	0	28	2292	0	1	1	0
1938	1	1	1	0	28	2292	0	1	0	0
1945	1	1	1	0	28	2292	1	0	1	0
1960	1	1	1	0	28	2292	0	1	1	0
1975	1	1	1	0	28	2292	0	1	1	0
1991	1	1	1	0	28	2292	0	1	1	0
2432	1	2	2	0	28	2292	0	1	1	0
2447	1	2	2	0	28	2292	0	1	1	0
2463	1	2	2	0	24	1692	0	1	1	0
2478	1	2	2	0	24	1692	0	1	1	0
2494	1	2	2	0	28	2292	0	1	1	0
2515	1	2	2	0	28	2292	0	1	1	0
2523	1	2	2	0	28	2292	0	1	1	0
2540	1	2	2	0	28	2292	0	1	1	0
2556	1	2	2	0	28	2292	0	1	1	0
2571	1	2	2	0	28	2292	0	1	1	0
2587	1	2	2	0	28	2292	0	1	1	0
2603	1	2	2	0	28	2292	0	1	1	0
2619	1	2	2	0	28	2292	0	1	1	0
2634	1	2	2	0	28	2292	0	1	1	0
2649	1	2	2	0	28	2292	0	1	1	0
2664	1	2	2	0	28	2292	0	1	1	0
2681	1	2	2	0	28	2292	0	1	1	0
2883	1	2	2	0	28	2292	0	1	1	0
2900	1	2	2	0	22	1431	0	1	1	0
2915	1	2	2	0	22	1431	0	1	1	0
