% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	8	209	0	1	1	0
115	1	2	2	0	24	807	0	1	1	0
130	1	1	1	0	20	1335	0	1	1	0
131	1	2	2	0	28	2292	0	1	1	0
147	1	2	2	0	28	2292	0	1	1	0
148	1	1	1	0	20	1335	0	1	1	0
162	1	2	2	0	28	2292	0	1	1	0
169	1	1	1	0	20	1335	0	1	1	0
178	1	2	2	0	28	2292	0	1	1	0
189	1	1	1	0	20	1335	0	1	1	0
202	1	2	2	0	28	2292	0	1	1	0
205	1	1	1	0	20	1335	0	1	1	0
223	1	2	2	0	14	807	0	1	1	0
226	1	1	1	0	28	2292	0	1	1	0
239	1	2	2	0	14	807	0	1	1	0
243	1	1	1	0	28	2292	0	1	1	0
256	1	2	2	0	6	325	0	1	1	0
256	2	2	2	0	6	325	0	1	1	1
259	1	1	1	0	14	807	0	1	1	0
272	1	2	2	0	6	325	0	1	1	0
278	1	1	1	0	14	807	0	1	1	0
289	1	2	2	0	22	1431	0	1	1	0
294	1	1	1	0	14	807	0	1	1	0
305	1	2	2	0	22	1431	0	1	1	0
309	1	1	1	0	14	807	0	1	1	0
325	1	1	1	0	14	807	0	1	1	0
326	1	1	1	0	20	645	0	1	0	0
326	1	2	2	0	22	693	0	1	1	0
341	1	1	1	0	20	1335	0	1	1	0
342	1	1	1	0	28	1095	0	1	0	0
342	1	2	2	0	18	549	0	1	1	0
357	1	1	1	0	20	1335	0	1	1	0
358	1	2	2	0	12	621	0	1	1	0
374	1	1	1	0	22	1431	0	1	1	0
375	1	1	1	0	28	1095	0	1	0	0
375	1	2	2	0	28	1095	0	1	1	0
391	1	1	1	0	22	1431	0	1	1	0
392	1	2	2	0	26	1908	0	1	1	0
407	1	1	1	0	6	325	0	1	1	0
413	1	2	2	0	16	967	0	1	1	0
422	1	1	1	0	6	325	0	1	1	0
429	1	2	2	0	16	967	0	1	1	0
440	1	1	1	0	6	325	0	1	1	0
445	1	2	2	0	16	967	0	1	1	0
456	1	1	1	0	12	621	0	1	1	0
461	1	2	2	0	28	2292	0	1	1	0
472	1	1	1	0	12	621	0	1	1	0
477	1	2	2	0	28	2292	0	1	1	0
487	1	1	1	0	20	1335	0	1	1	0
503	1	1	1	0	20	1335	0	1	1	0
519	1	1	1	0	20	1335	0	1	1	0
535	1	1	1	0	24	1692	0	1	1	0
1179	1	2	2	0	8	437	0	1	1	0
1185	1	1	1	0	12	621	0	1	1	0
1195	1	2	2	0	8	437	0	1	1	0
1202	1	1	1	0	12	621	0	1	1	0
1212	1	2	2	0	18	1143	0	1	1	0
1219	1	1	1	0	18	1143	0	1	1	0
1229	1	2	2	0	18	1143	0	1	1	0
1234	1	1	1	0	18	1143	0	1	1	0
1245	1	2	2	0	18	1143	0	1	1	0
1257	1	1	1	0	18	1143	0	1	1	0
1261	1	2	2	0	20	1335	0	1	1	0
1272	1	1	1	0	18	1143	0	1	1	0
1277	1	2	2	0	20	1335	0	1	1	0
1288	1	1	1	0	20	1335	0	1	1	0
1293	1	2	2	0	26	1908	0	1	1	0
1303	1	1	1	0	20	1335	0	1	1	0
1308	1	2	2	0	26	1908	0	1	1	0
1319	1	1	1	0	20	1335	0	1	1	0
1325	1	2	2	0	26	1908	0	1	1	0
1334	1	1	1	0	4	225	0	1	1	0
1341	1	2	2	0	26	1908	0	1	1	0
1351	1	1	1	0	4	225	0	1	1	0
1357	1	2	2	0	26	1908	0	1	1	0
1366	1	2	2	0	26	1908	0	1	1	0
1367	1	1	1	0	24	1692	0	1	1	0
1374	1	2	2	0	14	807	0	1	1	0
1376	1	2	2	0	14	807	0	1	1	0
1383	1	2	2	0	14	807	0	1	1	0
1384	1	1	1	0	24	1692	0	1	1	0
1390	1	2	2	0	14	807	0	1	1	0
1392	1	2	2	0	14	807	0	1	1	0
1394	1	2	2	0	14	807	0	1	1	0
1399	1	1	1	0	24	807	0	1	1	0
1399	1	2	2	0	18	549	0	1	0	0
1413	1	2	2	0	8	437	0	1	1	0
1415	1	1	1	0	4	225	0	1	1	0
