% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	26	903	0	1	0
115	1	2	2	0	20	645	0	1	0
115	2	1	1	0	26	903	0	1	1
115	2	2	2	0	20	645	0	1	1
116	1	3	4	0	20	645	0	1	0
116	1	5	6	0	28	1095	0	1	0
116	2	3	4	0	20	645	0	1	1
116	2	5	6	0	28	1095	0	1	1
122	1	4	3	0	20	1335	0	1	0
122	2	4	3	0	20	1335	0	1	1
140	1	2	2	0	14	807	0	1	0
140	2	2	2	0	14	807	0	1	1
142	1	3	4	0	12	621	0	1	0
142	2	3	4	0	12	621	0	1	1
143	1	5	6	0	10	549	0	1	0
143	2	5	6	0	10	549	0	1	1
1142	1	1	1	0	4	225	0	1	0
1142	2	1	1	0	4	225	0	1	1
