% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	2	1	0	26	903	0	1	1	0
115	1	5	3	0	28	1095	0	1	1	0
123	1	3	2	0	2	137	0	1	1	0
124	1	4	4	0	14	389	0	1	1	0
124	1	1	6	0	18	549	0	1	1	0
131	1	2	1	0	14	807	0	1	1	0
139	1	5	3	0	22	1431	0	1	1	0
147	1	2	1	0	14	807	0	1	1	0
174	1	2	1	0	18	549	0	1	1	0
174	1	5	3	0	6	153	0	1	1	0
207	1	2	1	0	6	325	0	1	1	0
377	1	5	3	0	6	325	0	1	1	0
1147	1	4	4	0	4	225	0	1	1	0
1148	1	2	1	0	4	225	0	1	1	0
1166	1	2	1	0	4	225	0	1	1	0
2182	1	2	1	0	4	225	0	1	1	0
2197	1	2	1	0	4	225	0	1	1	0
2212	1	2	1	0	6	325	0	1	1	0
2229	1	2	1	0	6	325	0	1	1	0
2246	1	2	1	0	6	325	0	1	1	0
2265	1	2	1	0	6	325	0	1	1	0
2285	1	2	1	0	6	325	0	1	1	0
2379	1	4	4	0	0	85	0	1	1	0
2486	1	2	1	0	2	137	0	1	1	0
2502	1	2	1	0	18	1143	0	1	1	0
2525	1	2	1	0	18	1143	0	1	1	0
5502	1	2	1	0	12	621	0	1	1	0
5523	1	2	1	0	12	621	0	1	1	0
5539	1	2	1	0	10	549	0	1	1	0
5555	1	2	1	0	10	549	0	1	1	0
5607	1	2	1	0	12	621	0	1	1	0
5622	1	2	1	0	12	621	0	1	1	0
5637	1	2	1	0	12	621	0	1	1	0
5654	1	2	1	0	14	807	0	1	1	0
5670	1	2	1	0	14	807	0	1	1	0
5686	1	2	1	0	14	807	0	1	1	0
5703	1	2	1	0	8	437	0	1	1	0
5719	1	2	1	0	8	437	0	1	1	0
8718	1	2	1	0	10	549	0	1	1	0
8734	1	2	1	0	2	137	0	1	1	0
8750	1	2	1	0	2	137	0	1	1	0
8766	1	2	1	0	2	137	0	1	1	0
8782	1	2	1	0	4	225	0	1	1	0
8799	1	2	1	0	4	225	0	1	1	0
8847	1	2	1	0	16	967	0	1	1	0
8869	1	2	1	0	16	967	0	1	1	0
