% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	2	1	0	22	293	0	1	1	0
115	1	1	2	0	12	125	0	1	1	0
115	1	3	3	0	28	469	0	1	1	0
115	1	5	4	0	24	333	0	1	1	0
115	1	4	5	0	28	469	0	1	1	0
141	1	5	4	0	14	807	0	1	1	0
143	1	1	2	0	14	807	0	1	1	0
1370	1	1	2	0	28	1095	0	1	1	0
1370	1	5	4	0	18	549	0	1	1	0
3138	1	3	3	0	20	1335	0	1	1	0
3144	1	4	5	0	16	967	0	1	1	0
4366	1	3	3	0	20	1335	0	1	1	0
4392	1	3	3	0	14	807	0	1	1	0
4619	1	3	3	0	18	1143	0	1	1	0
4648	1	3	3	0	18	1143	0	1	1	0
7145	1	2	1	0	20	1335	0	1	1	0
8372	1	2	1	0	12	621	0	1	1	0
8596	1	1	2	0	14	807	0	1	1	0
